Dataset	Variable stem	Variable	Variable label	Current topic	Topic label	New topic
us7_g_youth	 ypsdqps_dv	g_ypsdqps_dv	SDQ Subscale: Prosocial	10402	Personality | Temperament	104
us7_g_youth	 ypsdqpp_dv	g_ypsdqpp_dv	SDQ Subscale: Peer Relationship Problems	10402	Personality | Temperament	104
us7_g_youth	 ypsdqes_dv	g_ypsdqes_dv	SDQ Subscale: Emotional Symptoms	10404	Emotions	104
us7_g_youth	 ypsdqcp_dv	g_ypsdqcp_dv	SDQ Subscale: Conduct Problems	10404	Emotions	104
us5_e_youth	 ypsdqps_dv	e_ypsdqps_dv	SDQ Subscale: Prosocial	10402	Personality | Temperament	104
us5_e_youth	 ypsdqpp_dv	e_ypsdqpp_dv	SDQ Subscale: Peer Relationship Problems	10402	Personality | Temperament	104
us5_e_youth	 ypsdqes_dv	e_ypsdqes_dv	SDQ Subscale: Emotional Symptoms	10404	Emotions	104
us5_e_youth	 ypsdqcp_dv	e_ypsdqcp_dv	SDQ Subscale: Conduct Problems	10404	Emotions	104
ch_youth_p	 ypsdqps_dv	ch_ypsdqps_dv	SDQ Subscale: Prosocial	11604	Mental health and mental processes (CV19)	104
ch_youth_p	 ypsdqpp_dv	ch_ypsdqpp_dv	SDQ Subscale: Peer Relationship Problems	11604	Mental health and mental processes (CV19)	104
ch_youth_p	 ypsdqes_dv	ch_ypsdqes_dv	SDQ Subscale: Emotional Symptoms	11604	Mental health and mental processes (CV19)	104
ch_youth_p	 ypsdqcp_dv	ch_ypsdqcp_dv	SDQ Subscale: Conduct Problems	11604	Mental health and mental processes (CV19)	104
cf_youth_p	 ypsdqps_dv	cf_ypsdqps_dv	SDQ Subscale: Prosocial	11604	Mental health and mental processes (CV19)	104
cf_youth_p	 ypsdqpp_dv	cf_ypsdqpp_dv	SDQ Subscale: Peer Relationship Problems	11604	Mental health and mental processes (CV19)	104
cf_youth_p	 ypsdqes_dv	cf_ypsdqes_dv	SDQ Subscale: Emotional Symptoms	11604	Mental health and mental processes (CV19)	104
cf_youth_p	 ypsdqcp_dv	cf_ypsdqcp_dv	SDQ Subscale: Conduct Problems	11604	Mental health and mental processes (CV19)	104
cd_youth_p	 ypsdqps_dv	cd_ypsdqps_dv	SDQ Subscale: Prosocial	11604	Mental health and mental processes (CV19)	104
cd_youth_p	 ypsdqpp_dv	cd_ypsdqpp_dv	SDQ Subscale: Peer Relationship Problems	11604	Mental health and mental processes (CV19)	104
cd_youth_p	 ypsdqes_dv	cd_ypsdqes_dv	SDQ Subscale: Emotional Symptoms	11604	Mental health and mental processes (CV19)	104
cd_youth_p	 ypsdqcp_dv	cd_ypsdqcp_dv	SDQ Subscale: Conduct Problems	11604	Mental health and mental processes (CV19)	104
us3_c_youth	 ypsdqps_dv	c_ypsdqps_dv	SDQ Subscale: Prosocial	10402	Personality | Temperament	104
us3_c_youth	 ypsdqpp_dv	c_ypsdqpp_dv	SDQ Subscale: Peer Relationship Problems	10402	Personality | Temperament	104
us3_c_youth	 ypsdqes_dv	c_ypsdqes_dv	SDQ Subscale: Emotional Symptoms	10404	Emotions	104
us3_c_youth	 ypsdqcp_dv	c_ypsdqcp_dv	SDQ Subscale: Conduct Problems	10404	Emotions	104
us1_a_youth	 ypsdqps_dv	a_ypsdqps_dv	SDQ Subscale: Prosocial	10402	Personality | Temperament	104
us1_a_youth	 ypsdqpp_dv	a_ypsdqpp_dv	SDQ Subscale: Peer Relationship Problems	10402	Personality | Temperament	104
us1_a_youth	 ypsdqes_dv	a_ypsdqes_dv	SDQ Subscale: Emotional Symptoms	10404	Emotions	104
us1_a_youth	 ypsdqcp_dv	a_ypsdqcp_dv	SDQ Subscale: Conduct Problems	10404	Emotions	104
